笔记内容,情感倾向,置信度,负面概率,正面概率,笔记链接,关键词
前正价买昨天姐妹推文说美团欠骂抱试试心态想真效果,0,0.880955,0.94643,0.0535702,https://www.xiaohongshu.com/explore/663c4deb000000001e03a4ab,美团
想美团员真太差劲饿开员宜贵太差劲外卖,0,0.998991,0.999546,0.000454175,https://www.xiaohongshu.com/explore/666d5c79000000000e032a66,美团
店员妹声惊呼天薅券脸真说红两天店里忙店员点外卖吃店员狠狠嘲笑顿样,0,0.994821,0.997669,0.00233059,https://www.xiaohongshu.com/explore/666c5e4d0000000006004051,美团
🐠期天直发威胁短信家里美团si,0,0.869078,0.941085,0.058915,https://www.xiaohongshu.com/explore/6668706b000000000e0306c6,美团
美团美团员真太差劲饿真想美团卸想美团点外卖晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团太垃圾真卸载美团真太差美团马卸载,0,0.999995,0.999998,2.01301e-06,https://www.xiaohongshu.com/explore/666fb388000000001c03705d,美团
篇周解分析厂企业文化厂朋友参考公司部门外职场pua太理想化硬黑拼算算厂说市值肯算公司名称样拼听说员工里年百度头条差味少点应句话十年河东十年河西永远低估适合滴滴家公司员工福利挺顾,0,0.973092,0.987892,0.0121084,https://www.xiaohongshu.com/explore/6672331400000000060070cc,百度
XYC肥真理解样百度记前回复专业现胡说,0,0.287795,0.679508,0.320492,https://www.xiaohongshu.com/explore/666c5d34000000000e03201d,百度
闲绿影清圆梅雨暂疏执扇,0,0.414976,0.736739,0.263261,https://www.xiaohongshu.com/explore/6671aeab000000001c035bc6,百度
数字时代搜索引擎百度公众获取信息渠道搜索中现企业实信息时企业利益相关面损害危害信誉受损企业形象破坏实信息贬低企业形象消费合作伙伴企业负面印象信度降企业客户潜客户实信息企业性诚信怀疑济损失销售滑负面信息导潜客户流失影响企业销售额市场份额投资信心动摇实信息影响投资企业信心导股价波动投资减少运营受阻合作机丧失企业合作时搜索实信息退缩招聘困难优秀寻求业机时负面信息选择企业法律风险面诉讼实信息损害企业声誉损失企业需法律途径维权合规性实信息涉违反法规容导企业面监审查罚款策建议时响应企业应建机制旦发现实信息官渠道发布澄清声明积沟通消费合作伙伴开放透明沟通解释情况维护品牌形象法律维权损害企业利益实信息应法律删虚假容赔偿搜索引擎反馈利搜索引擎提供反馈机制举报实信息平台核实总言百度搜索中企业实信息受害企业信誉损害济损失面利影响企业需果断措施应需搜索引擎服务商信息审核确保搜索准确性公正性百度造谣信息删,0,0.999644,0.99984,0.000160175,https://www.xiaohongshu.com/explore/663e124a000000001e038ee0,百度
百度总裁璩静犯低级错误​原脱线太久脱线业务太久听汇报做决策牛逼占世界天赋做决策做产品够马户站户角度思考剩百分十需解线业务做决策京东强子事细枝末节手亲干亲参面面听属汇报捡喜欢听汇报隐藏掉关键细节需专注思考躬身入局做业务程中断迭代思考勤奋运眷顾​,0,0.988963,0.995034,0.00496647,https://www.xiaohongshu.com/explore/6670f508000000000e030291,百度
次开发现页面名妙视频领导面前开搜东西堆整尴尬😳,0,0.978881,0.990497,0.0095034,https://www.xiaohongshu.com/explore/666f8b76000000001c02bd37,百度
失眠晚搜索解决失眠面突蹦反胃口东西重点凌晨点前百度💛色东西真现百度卸载建议严查真说未,0,0.976898,0.989604,0.0103959,https://www.xiaohongshu.com/explore/6628dc77000000000d033749,百度
百度推广越越效果推广成效原键词差点击咨询页面跳率恶意点击成控制应解决竞价账户设置账户预算许竞价账户面总预算分配计划日费情况计划预算广告展现提前线广告展现效果分配优化措施时间段安排竞价推广投放时间应重视分配计划时段数分析选择时段投放优化账户域投放行业身分析确区域策广告效果展示转化匹配模式计核算基情况流动词转换词关键词分析匹配式效果准确关键词关键词SEM竞价推广部核心投标推广程中确实效转换词数数关键字选择搜索词报告咨询数搜索引擎优化数添加词语根户需关注点价值准确关键词恶意点击竞争行业缺少恶意竞争面恶意点击拒IP关键字控制预算精确精炼关键字式解决落页客户登陆页面相关性外需吸引户抓住户需求户想咨询网站开放速度否户耐心咨询网站咨询工具改进线客服招标促销效果转化环节客户应产品知识熟悉度回答面技速回答户效信息转换效果差跳率账号身外页面跳跃率页面设计竞价推广点击话开开关键词页面细化页面匹配度高时账户跳率降低,0,0.277508,0.674879,0.325121,https://www.xiaohongshu.com/explore/663d0017000000001e023f09,百度
痛程度次吃布洛芬妈旁唧唧歪歪说布洛芬吃癌搜发现玩意凶百度真伤说成死夸张说布洛芬胃真忍痛牙痛布洛芬吃止痛药,0,0.998492,0.999321,0.00067874,https://www.xiaohongshu.com/explore/6671792a00000000060051a1,百度
请问网盘里现片视频涉私密性东西请问平时吃相差限流限搞漏洞真服,0,0.959921,0.981964,0.0180358,https://www.xiaohongshu.com/explore/666f0426000000001c035976,百度
先说结年百度工作感受先说段史陆回国集团COOLLINI振奋心业务侧感受公司趋势否砍掉医疗广告态度百度底层价值观Rob拒陆提议海龙背锅年现样年轻形容词百度亿元收购媒体身李教兽公司百度副总裁负责商业产品海龙汇报印象深产品智标题动化搜索词名字体验般年产品玩明字节成PP工厂贴收购YY百度图百度干行年百度广告收入正式字节前身日头条超越说主观感受直销体系百度新友升希晋升调薪资排辈年力产品晋升首条件溜须拍马璩总蹭热点价值观产品公司组织发展百度面做错停留面,0,0.642499,0.839125,0.160876,https://www.xiaohongshu.com/explore/663ad993000000001e0215d7,百度
百度真恶心回两回次说车牌违章,0,0.998722,0.999425,0.000575237,https://www.xiaohongshu.com/explore/66441dcf000000001e03a4ba,百度
百度图真tm难导反真牛,0,0.996628,0.998482,0.00151758,https://www.xiaohongshu.com/explore/665f1613000000001500bec9,百度
实百度公关VP事算聊隔行隔山确实太懂高高低水平操作说网络水深静子握住正咪蒙捞女导师样句话搞亿流量脱群众太久外发声翻车想前次公司高网回帖样傲慢食肉糜感觉接气佬外设参考雷总周总说回容身倒觉刺耳说实话现高属死确实爹妈商业组织质东西想做说太够做视基现理奢说百度关注周前公司朋友找寻求说百度卡转正理员超负荷架构变动月提职提面解服仲裁寻思年代堂堂百度搞想问问hr员超负荷招聘事想🐴现说觉行赔偿赔偿劝退威胁太掉价公关事整公司价值观搞公关想省钱搞流量搞资想省钱搞走真太low伙伴建议抓紧时间找工作职时间抻赔偿唬住赔偿走恶心现仲裁怂干OFFER紧开垃圾公司前直觉百度算牌联网公司里少技术驱动公司搜索贴陪伴整读书阶段包括做产品读俞军师文章Rob技术气质挺崇拜公司成样唏劝位板HR做商业情情行业冷雪中泼水,0,0.999957,0.999981,1.94862e-05,https://www.xiaohongshu.com/explore/660fd6e7000000001a00c503,百度
广州学生避雷百度广州分公司届应届毕业生年找实习工作入职百度签实习协议入职前告知Hr需回学校答辩毕业事宜领导申请天假提前月申请说说领导说现业绩压力领导申请答辩天天假真实习生广佛学生避雷实习协议里全保护公司条款提实习学校事晚双休骗加班加班费压力逼走,0,0.997877,0.999045,0.000955319,https://www.xiaohongshu.com/explore/6641b1c0000000001e033c6c,百度
百度病量刑红书百度微博维权发泄微信工作B站学习抖音吃饭拉屎朋友圈听歌网易云发状态知说支付宝充话费短信获取验证码电话递外卖喜马拉雅哄睡,0,0.996676,0.998504,0.00149574,https://www.xiaohongshu.com/explore/6628e0c70000000004018306,百度
百度图垮垮百度全线裁员收入涨I折天赚钱降💔说百度文心言团队跳uble说类悲喜说裁员,0,0.997624,0.998931,0.00106914,https://www.xiaohongshu.com/explore/665430a20000000014018c5e,百度
讯视频实宜充值法贪宜心商家跑路导员掉员充值放心选择店谱姐妹反馈贪宜马扁请务擦亮眼睛风险走,0,0.985098,0.993294,0.00670609,https://www.xiaohongshu.com/explore/666c5250000000001d018cda,腾讯
太久玩游戏想舍友游戏发现信分名妙特低弄玩游戏字字行想语音输行动参加直持续久分涨终弄,0,0.446704,0.751017,0.248983,https://www.xiaohongshu.com/explore/666d1ffe000000000d00cfb9,腾讯
分钟领搞讯年卡员厉害想兑年年年,0,0.967093,0.985192,0.0148081,https://www.xiaohongshu.com/explore/6671126f000000001c02bed2,腾讯
事,0,0.714935,0.871721,0.128279,https://www.xiaohongshu.com/explore/665dbfaf000000000f00d889,腾讯
✅讯王荣耀欢乐斗主金铲铲战英雄联盟平精英穿越火线✅米游原神崩坏区崩坏学园崩坏未事件薄♻️网易系遇格梦幻西游阴阳师蛋仔派明日✅玩游戏真需性强手机备机卖换成红魔游戏,0,0.448854,0.751984,0.248016,https://www.xiaohongshu.com/explore/65d196740000000001028916,腾讯
空员工世面搞hs想挣钱提高提高员工素养脑举报成功真棒,0,0.981563,0.991703,0.00829672,https://www.xiaohongshu.com/explore/66540a96000000000500680c,腾讯
样做游戏网易游戏青年骂讯骂马化骂网易丁磊少户群体基数决负面声音基数否认讯手游确青少年身体健康成长面心理面学习面影响事实款游戏特群体心理学学决策角度深度性开发玩游戏成瘾原网易游戏业务丁磊理风格积履行社责素作网易游戏市场赢良口碑公众支持讯网易中国游戏市场参丁磊少受公众批评责难,0,0.894963,0.952733,0.0472665,https://www.xiaohongshu.com/explore/6630f8b3000000001e02f8fe,腾讯
讯值部门PCGCSIG裁员率点高,0,0.51085,0.779883,0.220117,https://www.xiaohongshu.com/explore/665bbb19000000000c019bb8,腾讯
肯吐槽牛马分牛马回国联网公司讯确实错性价高讯员工抱团公司薪资遇卷员工属感字节薪资遇肯天花板级卷职率两年理水平貌似降字节范嫡系文化反正选首选肯讯,0,0.0269156,0.562112,0.437888,https://www.xiaohongshu.com/explore/662ba562000000000401b90a,腾讯
