笔记内容,情感倾向,置信度,负面概率,正面概率,笔记链接,关键词
世界骗局美团外卖赚钱玩法领先时代说年电商行业动荡年话点年开头拼超越里京东甩十条街跃电商刘强东夜发文京东生死缘拼干掉京东改变电商界偷偷猥琐发育想电商佬分天美团创始王兴提王兴印象美团外卖团购万外卖骑手根王兴野心发现现电商行业秒杀实体济Bug商品交付时间太长客户想买东西手少天时间商家搞预售件商品客户手差月时间加客户收货主动确认收货店家成交钱少天天账期间承受客户时退货风险抓住Bug招缩短交易交付期家万骑手军成递员客户想买东西天天分钟送手前天朋友家孩闹吃火炬雪糕朋友区门口家利店买网少天送孩子吃唧唧开美团分钟骑手货送家解燃眉急体验感拉想模式真王兴进军电商行业里京东拼慌王心想止电商平台餐饮行业众周知美团主送外面赚商家家王兴野心勃勃利家统计客户数搞原材料供应商生意招搞全平台餐饮材料供应成全网预制裁生产商花钱开餐厅做门店投资吃美团提供食品免费合作餐饮企业帮赚钱套模式走通摇身变培训平台餐饮板做赋培训赚盆钵采模式马云马化追捧SBC模式套模式王兴行业巨头麦劳利店汉庭酒店百果园喜家德太酸菜鱼,0,0.999115,0.999602,0.000398207,https://www.xiaohongshu.com/explore/666938a9000000000e032d8f,美团
前正价买昨天姐妹推文说美团欠骂抱试试心态想真效果,0,0.880955,0.94643,0.0535702,https://www.xiaohongshu.com/explore/663c4deb000000001e03a4ab,美团
骂次贵姐妹试试挺疯狂喷美团,2,0.114642,0.398411,0.601589,https://www.xiaohongshu.com/explore/6667aeaa000000001500b730,美团
想美团员真太差劲饿开员宜贵太差劲外卖,0,0.998991,0.999546,0.000454175,https://www.xiaohongshu.com/explore/666d5c79000000000e032a66,美团
店员妹声惊呼天薅券脸真说红两天店里忙店员点外卖吃店员狠狠嘲笑顿样,0,0.994821,0.997669,0.00233059,https://www.xiaohongshu.com/explore/666c5e4d0000000006004051,美团
🐠期天直发威胁短信家里美团si,0,0.869078,0.941085,0.058915,https://www.xiaohongshu.com/explore/6668706b000000000e0306c6,美团
美团美团员真太差劲饿真想美团卸想美团点外卖晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团太垃圾真卸载美团真太差美团马卸载,0,0.999995,0.999998,2.01301e-06,https://www.xiaohongshu.com/explore/666fb388000000001c03705d,美团
百度文心模型新FlagEval模型评测中综合评分荣获闭源话模型名超越字节云雀豆包里通义问国产模型OpenIGPTo成绩标志中文语境国头部语言模型综合表现国际流水平FlagEval北京智源研究院推模型评测平台提供科学权威公正开放评测体系年发布FlagEval扩展视频语音模态模型评测覆盖领域评测国外开源商业闭源语言模态模型FlagEval评测体系包括评测务评测数集超万道评测题目FlagEval榜中百度文心模型闭源话模型中排名综合评分高参评模型云雀Pro豆包GPTo分位居位百川万物kimi紧国际数公司IDC发布中国模型市场主流产品评估报告中百度样位梯队维度优势厂商维度包括问答理解类推理类创作表达类数学类代码类基础力C通场景类B特行业类力百度生成式I产品文心言文心格领域展现领先优势百度文心模型发布标志基础模型升级理解生成逻辑记忆力提升文心言户规模亿日调量亿次证明百度模型领域领先位展示产品中接受度实性模型市场中百度文心模型成功代表技术中国工智领域速发展竞争力技术断场景断拓展理百度文心模型相关产品未发挥作推动工智技术发展百度文心模型评测中取优异成绩报告指模型C通场景类B行业场景类力提升意味模型基础力表现色特场景生成质量效果需优化改进,2,0.996973,0.00136218,0.998638,https://www.xiaohongshu.com/explore/6639a41b000000001e018f96,美团
平台属性户百度搜索主搜索引擎提供基搜索词广告投放服务户输入关键词搜索意图广告投放精准度高抖音短视频平台搜索广告主基户兴趣广告投放服务户主浏览短视频时动接触广告广告投放精准度低需创意动式吸引户广告形式展现百度搜索广告主文字图片形式展示广告展现形式推广设置投放时间域关键词日高消耗额抖音搜索广告主短视频图片形式展示支持静态图片动态视频特效创意创意形式够吸引户力提高广告点击率受众群体位百度搜索广告受众群体年龄主覆盖PC端户覆盖户面广捕获精准户获排名稳抖音搜索广告受众群体聚焦年轻消费尤年轻代抖音户主岁间热衷观分享趣创意短视频容投放效果评估百度搜索广告主点击转化目标效果评估主赖点击量转化率数指标抖音搜索广告注重品牌曝户动抖音提供广告数报告实时监测广告展现量点击量转化率数指标广告主评估广告效果优化,2,0.770957,0.103069,0.896931,https://www.xiaohongshu.com/explore/6671b80a000000001c022d72,百度
帮拦截工作风,2,0.972845,0.0122196,0.98778,https://www.xiaohongshu.com/explore/66728142000000000e031e0e,百度
开vip,2,0.649317,0.157807,0.842193,https://www.xiaohongshu.com/explore/6672818c000000001c021c9e,百度
篇周解分析厂企业文化厂朋友参考公司部门外职场pua太理想化硬黑拼算算厂说市值肯算公司名称样拼听说员工里年百度头条差味少点应句话十年河东十年河西永远低估适合滴滴家公司员工福利挺顾,0,0.973092,0.987892,0.0121084,https://www.xiaohongshu.com/explore/6672331400000000060070cc,百度
北京年百度工作年心情开心回想百度年工作错领导事感恩百度真心真诚朋友北京日子难熬想说年业性斗职场政治PU百度前PU评区留言关百度知言,2,0.973513,0.0119189,0.988081,https://www.xiaohongshu.com/explore/666b934b00000000060051ec,百度
XYC肥真理解样百度记前回复专业现胡说,0,0.287795,0.679508,0.320492,https://www.xiaohongshu.com/explore/666c5d34000000000e03201d,百度
百度根部员工爆料部门沟通降职降薪次沟通级员工高涉沟通调be职级虾皮月日午虾皮研发中心位员工突发身体适事公司时间拨急救送医悲痛员工抢救效理想画饼裁员回收股票年理想汽车年超额销量目标手笔发放员工年终奖登热搜理想汽车月日发放年终奖月工资间根绩效部门李想员工画饼学华流程学习华利益分配画饼制裁员计划变相回收员工股票月末公司理层制裁员案整体裁员例约意图月日员工股票解禁日前员调整目昭揭月日理想汽车发布公告公司根年计划名雇员授合万份受股份位授日期类股市价平授约万元员工绩效目标考核合格属员工股份公司收饼画绩效目标考核板说合格合格合格合格终员工,1,0.851182,0.507441,0.492559,https://www.xiaohongshu.com/explore/666a9639000000001c037644,百度
百度搜索百度真头干点事日子百度部侵蚀,2,0.711618,0.129772,0.870228,https://www.xiaohongshu.com/explore/667197d2000000000e0331ae,百度
闲绿影清圆梅雨暂疏执扇,0,0.414976,0.736739,0.263261,https://www.xiaohongshu.com/explore/6671aeab000000001c035bc6,百度
数字时代搜索引擎百度公众获取信息渠道搜索中现企业实信息时企业利益相关面损害危害信誉受损企业形象破坏实信息贬低企业形象消费合作伙伴企业负面印象信度降企业客户潜客户实信息企业性诚信怀疑济损失销售滑负面信息导潜客户流失影响企业销售额市场份额投资信心动摇实信息影响投资企业信心导股价波动投资减少运营受阻合作机丧失企业合作时搜索实信息退缩招聘困难优秀寻求业机时负面信息选择企业法律风险面诉讼实信息损害企业声誉损失企业需法律途径维权合规性实信息涉违反法规容导企业面监审查罚款策建议时响应企业应建机制旦发现实信息官渠道发布澄清声明积沟通消费合作伙伴开放透明沟通解释情况维护品牌形象法律维权损害企业利益实信息应法律删虚假容赔偿搜索引擎反馈利搜索引擎提供反馈机制举报实信息平台核实总言百度搜索中企业实信息受害企业信誉损害济损失面利影响企业需果断措施应需搜索引擎服务商信息审核确保搜索准确性公正性百度造谣信息删,0,0.999644,0.99984,0.000160175,https://www.xiaohongshu.com/explore/663e124a000000001e038ee0,百度
找🈲原ip旅游工作生朋友图片里回答准准确图图源GPT图图源百度,2,0.832375,0.0754313,0.924569,https://www.xiaohongshu.com/explore/666fbc6a000000000d00d4d1,百度
百度百科编辑创建百度百科百度百科物创建前提知名物公众物具影响力物百科物百科编辑需点容真实查证关键信息需参考资料佐证容客观中杜主观夸宣容容含广告维码电话链接创建功主原参考资料关情况需参考资料编辑物关键信息逝世日期物关系获荣誉物作品物教育情感物评价时需提供众认权威平台佐证工商局主位备案链接编辑次信息外文名昵称生日期国籍生籍贯民族血型身高体重学毕业院校属公司信息公司官网站资料佐证权威平台资料佐证参考资料权威源公众媒体播众认度高资料主流媒体新华网民日报央广网新浪网环球网讯网刊登文章接分享物百科词条模板马xxx年xx月x日生xx省xx市xx公司创始现xx公司董事主席兼CEO目录物主贡献获荣誉生社评价物xx年马担xx公司商业运营体系副总裁xx年x月xx公司销售副总裁负责xxxx年x月xx公司董事主席兼CEO主贡献首次提xx理xx商业模式引入中国xx行业商业模式研究提特xx理促业发展xx特产点帮扶户居民脱贫富获荣誉入选中国企业家具影响力企业领袖入选中国济周刊中国改革开放年济百榜入选年中国具影响力位商界领袖生妻子xxx孩子xxx社评价马海外华国典范榜样王xx评马粹读书朴实华富xxx杂志社评马充正量言行予聆听积力量xx网评,2,0.63451,0.16447,0.83553,https://www.xiaohongshu.com/explore/66703456000000000d00e0a9,百度
百度总裁璩静犯低级错误​原脱线太久脱线业务太久听汇报做决策牛逼占世界天赋做决策做产品够马户站户角度思考剩百分十需解线业务做决策京东强子事细枝末节手亲干亲参面面听属汇报捡喜欢听汇报隐藏掉关键细节需专注思考躬身入局做业务程中断迭代思考勤奋运眷顾​,0,0.988963,0.995034,0.00496647,https://www.xiaohongshu.com/explore/6670f508000000000e030291,百度
次开发现页面名妙视频领导面前开搜东西堆整尴尬😳,0,0.978881,0.990497,0.0095034,https://www.xiaohongshu.com/explore/666f8b76000000001c02bd37,百度
失眠晚搜索解决失眠面突蹦反胃口东西重点凌晨点前百度💛色东西真现百度卸载建议严查真说未,0,0.976898,0.989604,0.0103959,https://www.xiaohongshu.com/explore/6628dc77000000000d033749,百度
实百度说现状现发生工喜欢听听觉工真实实,2,0.985466,0.00654014,0.99346,https://www.xiaohongshu.com/explore/64ccaacb000000000c037fdd,百度
网红明星百度百科实网红明星点圈新闻媒体报道作品热度高基符合创建百度百科资格创建百度百科需新闻媒体报道注册百度账号百度百科官网创建程审核难度高做百度百科麻烦尤网红明星专业做专业事,2,0.311978,0.30961,0.69039,https://www.xiaohongshu.com/explore/663ca8f3000000001e030578,百度
百度实习两月感受公司环境浓郁文化氛围真慢慢司滤镜🌞通勤班时间早十晚公司考勤理性化晚点点关系公司免费班车直达工区通勤真工作日早点前晚十点车免费周末全天免费🏠住宿处实习阶段住学校住宿头基开销🍽️吃喝公司食堂季节推时令菜品厦档口超爱干饭动力十足午点免费午茶水果送工区苹果桃子香蕉梨周次酸奶反正午供应水果脑袋狂喜早餐晚餐免费时间段口味般胜量实惠🏢工作环境百度厦旁宽敞道绿树草坪公司门口前广场走走午饭晚饭休闲散步胜🏃中午吃完饭组事消消食惬意驾驶车试驾公司技术真实体验感厦办公环境舒适干净办公桌超级总体感觉挺意🎁员工福利福利数清新入职实习生入职礼包年节送礼盒惊喜想实习生领礼包礼盒妇女节送防晒套装东西实实面感觉败百度💼工作体验百度体验工作充实意义实习生机做琐碎提供主发挥机锻炼总体感受累充实觉时间浪费百度员工称学校园样温暖公司文创店简铺设计文化衫属感拉想份错实习体验百度试试,2,0.999706,0.000132229,0.999868,https://www.xiaohongshu.com/explore/667115630000000006005a3f,百度
Hi子洵学百度月实习生结束回想场美丽梦真改变生轨迹份工作特缘分两天时间利fer想做B端I幸运蔼趣板友爱事nr沟通事项工作容锻炼团队中工作节奏相处融洽未日子里希机工作现回校学业希科研利感恩路行✨,2,0.986259,0.00618328,0.993817,https://www.xiaohongshu.com/explore/666b3874000000001d01b604,百度
百度账户做提高百度账户转化率百度账户做百度账户做数分析百度账户做关键步骤策供参考关键词策受众群分析基潜户意户目标群核心群需求制关键词策关键词挖掘利百度统计百度指数工具关键词挖掘确保选择关键词产品特性户搜索动机相匹配关键词属性根关键词流量转化词量价分配资源确保高转化高价值关键词关注优化账户结构优化推广计划扁平化计划推广根区域产品业务划分提高账户理灵性效率创意撰写关键词创意撰写确保创意通相关吸引插入通配符获取飘红效果账户计划搭建根关键词数量业务类型素选择合适账户结构搭建模型群时段域分组陆页优化竞品页面差异化竞品陆页提升页面营销性增强获电竞争力Bner设计重视首屏展现bner设计突产品描述优势网站结构容优化网站结构确保网站结构清晰搜索引擎抓取理解网站容容质量提高容质量确保容原创高质量转载结构清晰易阅读具价值外部链接建设参行业坛博客平台发布价值容吸引网站链接网站网站合作引优质容利社交媒体平台分享容吸引户关注分享预算群设置预算设置根公司情况广告效果设置日预算确保广告费利群设置根产品特性目标户设置合适群属性价提高广告精准度转化率投放域时间投放域选择优质域投放提高广告曝率点击率投放时间选择优质时间段投放确保广告目标户跃时间段展示综述做百度账户需面优化调整分析户需求选择合适关键词优化账户结构陆页提高网站容质量建外部链接设置预算群属性价措施提升百度账户效果转化率参考百度账户优化百度账户优化性分析酷盾百度样设置账号理百度验百度帐号权限百度百度授权理百度,2,0.741445,0.11635,0.88365,https://www.xiaohongshu.com/explore/66179d99000000001b00ffd3,百度
百度全球中文搜索引擎公司力户提供简赖联网搜索产品服务暑假实习培生岗位热门🔥🔥🔥网申截止月日笔试测评🔅百度笔试容主包括言语理解道题限时分钟逻辑推理道题限时分钟需计算器草稿纸笔资料分析道题限时分钟奥数题道题限时分钟学姐收集整理百度测评真题答案复习需左角🛒,2,0.308887,0.311001,0.688999,https://www.xiaohongshu.com/explore/66715a82000000001c02a53d,百度
百度推广越越效果推广成效原键词差点击咨询页面跳率恶意点击成控制应解决竞价账户设置账户预算许竞价账户面总预算分配计划日费情况计划预算广告展现提前线广告展现效果分配优化措施时间段安排竞价推广投放时间应重视分配计划时段数分析选择时段投放优化账户域投放行业身分析确区域策广告效果展示转化匹配模式计核算基情况流动词转换词关键词分析匹配式效果准确关键词关键词SEM竞价推广部核心投标推广程中确实效转换词数数关键字选择搜索词报告咨询数搜索引擎优化数添加词语根户需关注点价值准确关键词恶意点击竞争行业缺少恶意竞争面恶意点击拒IP关键字控制预算精确精炼关键字式解决落页客户登陆页面相关性外需吸引户抓住户需求户想咨询网站开放速度否户耐心咨询网站咨询工具改进线客服招标促销效果转化环节客户应产品知识熟悉度回答面技速回答户效信息转换效果差跳率账号身外页面跳跃率页面设计竞价推广点击话开开关键词页面细化页面匹配度高时账户跳率降低,0,0.277508,0.674879,0.325121,https://www.xiaohongshu.com/explore/663d0017000000001e023f09,百度
痛程度次吃布洛芬妈旁唧唧歪歪说布洛芬吃癌搜发现玩意凶百度真伤说成死夸张说布洛芬胃真忍痛牙痛布洛芬吃止痛药,0,0.998492,0.999321,0.00067874,https://www.xiaohongshu.com/explore/6671792a00000000060051a1,百度
请问网盘里现片视频涉私密性东西请问平时吃相差限流限搞漏洞真服,0,0.959921,0.981964,0.0180358,https://www.xiaohongshu.com/explore/666f0426000000001c035976,百度
百度年财报百度集团发布年财报显示总营收亿元增长净利润非通计准亿元增长财报发布百度股价跌I产品发展百度I领域取进展特生成式I产品面百度文心言户规模突破亿显示I产品市场接受度动驾驶业务百度动驾驶行服务萝卜跑取成绩累计量超万武汉区全驾驶订例百度动驾驶领域研发投入商业化前景受关注高业务调整字节跳动美团百度联网厂年轮高业务调整调整预示公司未战电商容领域百度电商容领域展示新动作曝OKR显示百度重启电商业务入局短剧领域百度元化发展面尝试I营销平台百度营销发布INive营销平台轻舸平台利生成式I技术优化营销案广告投放研发投入百度I研发持续投入体现年间研发支超亿元增长倍长期投资I技术发展场中回报年百度财务业绩I技术发展动驾驶服务高变动新业务领域新动态百度战调整投资显示公司正积市场变化寻求新增长点,2,0.0515713,0.426793,0.573207,https://www.xiaohongshu.com/explore/65e5566a000000000b0189b6,百度
先说结年百度工作感受先说段史陆回国集团COOLLINI振奋心业务侧感受公司趋势否砍掉医疗广告态度百度底层价值观Rob拒陆提议海龙背锅年现样年轻形容词百度亿元收购媒体身李教兽公司百度副总裁负责商业产品海龙汇报印象深产品智标题动化搜索词名字体验般年产品玩明字节成PP工厂贴收购YY百度图百度干行年百度广告收入正式字节前身日头条超越说主观感受直销体系百度新友升希晋升调薪资排辈年力产品晋升首条件溜须拍马璩总蹭热点价值观产品公司组织发展百度面做错停留面,0,0.642499,0.839125,0.160876,https://www.xiaohongshu.com/explore/663ad993000000001e0215d7,百度
百度真恶心回两回次说车牌违章,0,0.998722,0.999425,0.000575237,https://www.xiaohongshu.com/explore/66441dcf000000001e03a4ba,百度
太足够日工作真听劝找素材真简,2,0.268512,0.329169,0.67083,https://www.xiaohongshu.com/explore/666eb505000000000e031d0c,百度
身高德百度​​​,2,0.926864,0.0329112,0.967089,https://www.xiaohongshu.com/explore/664eb60e000000000f00ece8,百度
百度图真tm难导反真牛,0,0.996628,0.998482,0.00151758,https://www.xiaohongshu.com/explore/665f1613000000001500bec9,百度
年Q家联网公司财报陆续发布员工数变化焦点日读HR俱乐析里百度讯主员工变化️⃣里图里年Q减员续季度减员算年里减员趋势年里减员里数占高鑫售员工里年减员万高鑫售占万高鑫售核心业务润发言里售实体售业务️⃣百度员工变化图隔两年轮瘦身年百度步降增效运动两年累计减少百度两年技术研发市场营销条线幅减员图️⃣年年讯图减员年Q年Q讯续季度累计减员消息年QQ讯幅增员总数控制万😊鹅厂资深产品T哥持续新职场神器力提升数领域系列笔记精彩干货详主页记点赞转发关注,2,0.990664,0.00420109,0.995799,https://www.xiaohongshu.com/explore/666acd13000000001c022f39,百度
实百度公关VP事算聊隔行隔山确实太懂高高低水平操作说网络水深静子握住正咪蒙捞女导师样句话搞亿流量脱群众太久外发声翻车想前次公司高网回帖样傲慢食肉糜感觉接气佬外设参考雷总周总说回容身倒觉刺耳说实话现高属死确实爹妈商业组织质东西想做说太够做视基现理奢说百度关注周前公司朋友找寻求说百度卡转正理员超负荷架构变动月提职提面解服仲裁寻思年代堂堂百度搞想问问hr员超负荷招聘事想🐴现说觉行赔偿赔偿劝退威胁太掉价公关事整公司价值观搞公关想省钱搞流量搞资想省钱搞走真太low伙伴建议抓紧时间找工作职时间抻赔偿唬住赔偿走恶心现仲裁怂干OFFER紧开垃圾公司前直觉百度算牌联网公司里少技术驱动公司搜索贴陪伴整读书阶段包括做产品读俞军师文章Rob技术气质挺崇拜公司成样唏劝位板HR做商业情情行业冷雪中泼水,0,0.999957,0.999981,1.94862e-05,https://www.xiaohongshu.com/explore/660fd6e7000000001a00c503,百度
广州学生避雷百度广州分公司届应届毕业生年找实习工作入职百度签实习协议入职前告知Hr需回学校答辩毕业事宜领导申请天假提前月申请说说领导说现业绩压力领导申请答辩天天假真实习生广佛学生避雷实习协议里全保护公司条款提实习学校事晚双休骗加班加班费压力逼走,0,0.997877,0.999045,0.000955319,https://www.xiaohongshu.com/explore/6641b1c0000000001e033c6c,百度
百度病量刑红书百度微博维权发泄微信工作B站学习抖音吃饭拉屎朋友圈听歌网易云发状态知说支付宝充话费短信获取验证码电话递外卖喜马拉雅哄睡,0,0.996676,0.998504,0.00149574,https://www.xiaohongshu.com/explore/6628e0c70000000004018306,百度
入职天氛围超级棒事姐姐热情e天堂子熟吼吼,2,0.999849,6.81183e-05,0.999932,https://www.xiaohongshu.com/explore/663b1450000000001e02e83f,百度
李彦宏百度董事长兼首席执行官百度公司创始董事长兼首席执行官负责百度公司战规划运营理毕业北京学信息理专业前美国布法罗纽约州学计算机科学硕士学位全球早搜索引擎技术研究顶尖工程师先担道•琼斯公司高级顾问华街日报网络版实时金融信息系统设计国际知名联网公司资深工程师持超链分析技术专利奠整搜索引擎发展趋势基础发明福布斯中国zui佳CEO评选中李彦宏名列榜首续年唯企业家代表榜全球具影响力物罗戎百度首席财务官CFO领导百度财务体系理工作担未教育集团NYSETL首席财务官前微软联想艺龙公司工作北京学理学济学双学士年清华学理学硕士北京学理学博士学位王海峰百度首席技术官CTO王博士先创建发展语言知识图谱语音图机器学习深度学习百度工智技术先负责百度搜索百度图百度翻译百度智云业务沈抖百度集团执行副总裁百度智云事业群组CG负责年入选北京市海外高层次北京市特聘专家梁志祥百度集团资深副总裁百度集团数隐私委员主席百度集团党委书记毕业美国耶鲁学法学院硕士学位前北京学法学院学士学位崔珊珊百度集团资深副总裁年月百度百度位创业员工现百度集团资深副总裁负责力资源理工作崔珊珊中高研发技术理职位百度核心技术部门主负责科毕业北京理工学硕士毕业中国科学院学李震宇百度集团资深副总裁硕士毕业北京航空航天学毕业职华华zui高荣誉金牌奖现百度集团资深副总裁智驾驶事业群组总理,2,0.991443,0.00385071,0.996149,https://www.xiaohongshu.com/explore/665a7d3f0000000015012192,百度
百度图垮垮百度全线裁员收入涨I折天赚钱降💔说百度文心言团队跳uble说类悲喜说裁员,0,0.997624,0.998931,0.00106914,https://www.xiaohongshu.com/explore/665430a20000000014018c5e,百度
百度字前南宋词辛弃疾句词众里寻百度句话描述词理想执追求年底身美国硅谷李彦宏中国联网中文搜索引擎服务发展潜力抱技术改变世界梦想毅辞掉硅谷高薪工作携搜索引擎专利技术年月日中关村创建百度公司,2,0.480006,0.233997,0.766003,https://www.xiaohongshu.com/explore/64e860f80000000003021315,百度
平时办员咯,2,0.778451,0.0996971,0.900303,https://www.xiaohongshu.com/explore/65e9a5b4000000000102a401,百度
实习天做️⃣介绍醒图找模板修改图片介绍想象e害️⃣仔细阅读入职流程讯入职流程傻瓜版加直系领导式获取入职天访客码培训考试网电子签约身份证入职报道获取访客码楼T台工卡入职礼包开通手掌付款中午食堂吃饭前工位电脑配全新macboairm丝滑电脑配置吃饭事熟悉工位薅羊毛健身房免费铁山楂乌梅花茶午休工作吃完饭班车回家️⃣分配务解决速解行业务明目标核心考核r解工作容️⃣速学习,2,0.508443,0.221201,0.778799,https://www.xiaohongshu.com/explore/663de4df000000001e033ab8,百度
Be讯广告北京亚洲金融厦奥森旁入职报入职天确认D座报道us体验讯亚投行厦指引导找早餐点前晚餐点刷工卡,2,0.444548,0.249954,0.750046,https://www.xiaohongshu.com/explore/667275d3000000001d019fb1,腾讯
波力泼天富贵轮,2,0.173706,0.371832,0.628168,https://www.xiaohongshu.com/explore/6672652600000000060058ee,腾讯
讯实习月实抱期联网厂魅喊年真讯实习月觉前努力值🐧企业文化氛围讯文化里字节咄咄逼部门加班氛围事善优秀entj说蠢真难忍受外办公室里处🐧神属感💻工作层面幸运负责块I构建前期产太足明晰nr棒🏃生面规律班时间加日健身h感觉身体状态前hom玩cll班难忘回忆厂裁员岁办刻感受工作意义身心状态Thaeugh,2,0.973115,0.0120983,0.987902,https://www.xiaohongshu.com/explore/66724ae7000000001d016ab8,腾讯
